ข้อมูลคลองในพื้นที่เขต (สนน.และสนข.),,,,,,,,,
เขตคลองเตย,,,,,,,,,
35,ลำรางล็อค 3 เชื่อมคลองสองตะวันตก,คลองสองตะวันตก,สุดระยะที่กำหนดให้, 2 - 4,"1,000",-2.00,คลองสามวา,,
36,ลำรางล็อค 3 เชื่อมคลองสามตะวันตก,คลองสามตะวันตก,คลองสี่ตะวันตก, 2 - 4,"1,400",-2.00,คลองสามวา,,
,กับคลองสี่ตะวันตก,,,,,,,,
37,ลำรางล็อค 4 (ถนนเลียบคลองสอง) ,คลองสองตะวันตก,คลองลำกะโหลก, 2 - 3,"1,950",-2.00,คลองสามวา,,
38,ลำรางล็อค 4 (ถนนสามวา),คลองสามวา,คลองกีบหมู, 2 - 3,"2,100",-2.00,คลองสามวา,,
39,ลำรางล็อค 4 เชื่อมคลองสองตะวันตกกับ,คลองสองตะวันตก,ลำรางแยกคลองพระสุเรนทร์, 2 - 4,800,-2.00,คลองสามวา,,
,ลำรางแยกคลองพระยาสุเรนทร์,,,,,,,,
40,ลำรางล็อค 5 (ถนนสามวา),คลองสามวา,คลองกีบหมู, 2 - 3,"1,900",-2.00,คลองสามวา,,
41,ลำรางวัดแป้นทอง,คลองสี่ตะวันตก,คลองสามตะวันตก, 6 - 12,"1,500",-2.00,คลองสามวา,,
42,ลำรางศรีสง่า,คลองแสนแสบ,สุดระยะที่กำหนดให้, 2 - 3,"1,000",-2.00,คลองสามวา,,
43,ลำรางสันนิธิอิสลาม,คลองแสนแสบ,คลองบึงทรายกองดิน, 4 - 6,900,-2.00,คลองสามวา,,
44,ลำรางสิทธิโสม,คลองแสนแสบ,คลองบึงทรายกองดิน, 4 -  6,900,-2.00,คลองสามวา,,
45,ลำรางอิมเพลโฮม,บึงสะแกงาม,คลองบึงทราบกองดิน, 2 - 3,800,-1.50,คลองสามวา,,
,,,,,"68,650",,,,
,,,,,,,,,
,,,,,,,,,
เขตคันนายาว,,,,,,,,,
ลำดับ,ชื่อคลอง,จาก,ถึง,กว้าง(ม.),ยาว (ม.),ระดับ,พื้นที่เขต,,
,,,,,,ขุดลอก,,,
,,,,,,(รทก.),,,
,สำนักการระบายน้ำรับผิดชอบ,,,,,,,,
1,คลองครุ,คลองแสนแสบ,คลองลำเกร็ด, 5 - 9,"6,600",-2.00,คันนายาว,,
2,คลองบางชัน,สน.คันนายาว,คลองแสนแสบ, 7 - 27,8000,-2.00,คันนายาว,,
3,คลองลำเกร็ด,คลองลำชะล่า,คลองบางชัน, 5 - 10,"5,550",-2.00,คันนายาว,,
4,คลองลำชะล่า,ซอย รามอินทรา 58,คลองตาเร่ง, 5 - 8,"2,000",-2.00,คันนายาว,,
5,คลองหลอแหล,คลองบางชัน,คลองแสนแสบ, 7 - 40,"1,350",-2.00,คันนายาว,,
,,,,,"23,500",,,,
,สำนักงานเขตรับผิดชอบ,,,,,,,,
