dcode,dname,AREA,population,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health,canal_count,flood_point_count,floodgate_count,pump_number,pump_ready,total_ready,จำนวนจุดเสี่ยง,จำนวนจุดเฝ้าระวังน้ำท่วม,year,total_rain,max_daily_rain,avg_daily_rain,heavy_rain_days,total_storm_days,max_storm_intensity
1046,เขตคลองสามวา,120176920.0,169729,80701,89028,18,0,81,10,1,77,0,5,20,12,20,8,4,2024,697.5,60.5,4.84375,1,114,4
1041,เขตหลักสี่,22669208.0,109858,52596,57262,6,0,78,1,1,16,1,0,15,5,13,1,5,2023,1465.5,93.5,4.082172701949861,3,265,4
1041,เขตหลักสี่,22669208.0,109858,52596,57262,6,0,78,1,1,16,1,0,15,5,13,1,5,2024,570.0,63.0,3.9583333333333335,1,114,4
1005,เขตบางเขน,40959096.0,189687,90854,98833,5,0,75,4,0,37,0,0,19,16,19,3,10,2023,1096.0,84.0,3.052924791086351,2,265,4
1005,เขตบางเขน,40959096.0,189687,90854,98833,5,0,75,4,0,37,0,0,19,16,19,3,10,2024,427.0,62.5,2.9652777777777777,1,114,4
1030,เขตจตุจักร,32656716.0,160853,75637,85216,7,0,41,2,1,14,1,0,15,15,15,4,5,2023,1839.5,94.5,5.123955431754875,4,265,4
1030,เขตจตุจักร,32656716.0,160853,75637,85216,7,0,41,2,1,14,1,0,15,15,15,4,5,2024,708.5,87.5,4.920138888888889,3,114,4
1043,เขตคันนายาว,25380514.0,88471,41238,47233,2,0,41,2,0,32,0,2,16,10,15,3,2,2023,961.0,69.0,2.6768802228412256,2,265,4
1043,เขตคันนายาว,25380514.0,88471,41238,47233,2,0,41,2,0,32,0,2,16,10,15,3,2,2024,458.0,50.0,3.1805555555555554,0,114,4
1010,เขตมีนบุรี,61120416.0,137295,65039,72256,13,0,62,6,1,34,1,2,31,16,31,2,3,2023,1723.5,62.5,4.8008356545961,1,265,4
1010,เขตมีนบุรี,61120416.0,137295,65039,72256,13,0,62,6,1,34,1,2,31,16,31,2,3,2024,804.5,84.0,5.586805555555555,1,114,4
1038,เขตลาดพร้าว,21266434.0,122152,55721,66431,6,0,34,4,1,12,0,0,23,23,23,7,13,2023,857.5,63.0,2.3885793871866294,1,265,4
1038,เขตลาดพร้าว,21266434.0,122152,55721,66431,6,0,34,4,1,12,0,0,23,23,23,7,13,2024,309.0,47.5,2.1458333333333335,0,114,4
1029,เขตบางซื่อ,12885789.0,132169,62623,69546,7,0,49,9,2,30,0,2,13,9,13,10,1,2023,1850.0,75.5,5.153203342618385,5,265,4
1029,เขตบางซื่อ,12885789.0,132169,62623,69546,7,0,49,9,2,30,0,2,13,9,13,10,1,2024,513.5,67.0,3.5659722222222223,1,114,4
1027,เขตบึงกุ่ม,23404956.0,145795,67066,78729,8,0,38,5,1,20,0,1,16,15,15,4,4,2023,972.5,62.5,2.7089136490250696,2,265,4
1027,เขตบึงกุ่ม,23404956.0,145795,67066,78729,8,0,38,5,1,20,0,1,16,15,15,4,4,2024,429.5,38.5,2.982638888888889,0,114,4
1006,เขตบางกะปิ,27587404.0,148491,67729,80762,11,0,28,5,1,34,2,0,20,17,20,7,4,2023,1266.5,86.5,3.5278551532033426,3,265,4
1006,เขตบางกะปิ,27587404.0,148491,67729,80762,11,0,28,5,1,34,2,0,20,17,20,7,4,2024,433.0,53.5,3.0069444444444446,0,114,4
1049,เขตทุ่งครุ,32950616.0,116523,54909,61614,8,0,30,4,2,43,1,0,19,19,19,5,5,2023,1287.5,78.0,3.586350974930362,2,265,4
1049,เขตทุ่งครุ,32950616.0,116523,54909,61614,8,0,30,4,2,43,1,0,19,19,19,5,5,2024,605.0,73.5,4.201388888888889,1,114,4
