dcode,dname,AREA,population,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health,canal_count,flood_point_count,floodgate_count,pump_number,pump_ready,total_ready,จำนวนจุดเสี่ยง,จำนวนจุดเฝ้าระวังน้ำท่วม,year,total_rain,max_daily_rain,avg_daily_rain,heavy_rain_days,total_storm_days,max_storm_intensity,rain_load_per_pump,pump_density,canal_density,pop_density,retention_capacity
1013,เขตสัมพันธวงศ์,1392972.75,27426,13317,14109,3,0,19,13,1,0,0,0,2,2,2,3,2,2023,1406.0,75.0,3.916434540389972,1,265,4,703.0,1.4357782663013328e-06,0.0,0.01968882736579018,0
1013,เขตสัมพันธวงศ์,1392972.75,27426,13317,14109,3,0,19,13,1,0,0,0,2,2,2,3,2,2024,460.5,66.5,3.1979166666666665,1,114,4,230.25,1.4357782663013328e-06,0.0,0.01968882736579018,0
1033,เขตคลองเตย,13240401.0,109001,52428,56573,4,0,41,3,2,10,0,0,30,28,28,0,13,2023,1909.0,140.5,5.3175487465181055,5,265,4,63.63333333333333,2.2657924031152834e-06,7.552641343717611e-07,0.008232454591065632,10
1033,เขตคลองเตย,13240401.0,109001,52428,56573,4,0,41,3,2,10,0,0,30,28,28,0,13,2024,712.5,96.0,4.947916666666667,2,114,4,23.75,2.2657924031152834e-06,7.552641343717611e-07,0.008232454591065632,10
1015,เขตธนบุรี,8461864.0,119643,56676,62967,17,0,44,25,3,66,0,4,18,13,18,0,3,2023,1329.0,61.0,3.701949860724234,1,265,4,73.83333333333333,2.127190888437819e-06,7.799699924272004e-06,0.014139083303631447,70
1015,เขตธนบุรี,8461864.0,119643,56676,62967,17,0,44,25,3,66,0,4,18,13,18,0,3,2024,580.5,78.5,4.03125,1,114,4,32.25,2.127190888437819e-06,7.799699924272004e-06,0.014139083303631447,70
1018,เขตคลองสาน,5965976.0,76353,35832,40521,8,1,44,8,1,33,0,7,14,8,10,0,2,2023,1550.0,66.0,4.3175487465181055,3,265,4,110.71428571428571,2.346640348536434e-06,5.53136653583588e-06,0.012798073609414453,40
1018,เขตคลองสาน,5965976.0,76353,35832,40521,8,1,44,8,1,33,0,7,14,8,10,0,2,2024,528.0,59.5,3.6666666666666665,0,114,4,37.714285714285715,2.346640348536434e-06,5.53136653583588e-06,0.012798073609414453,40
1032,เขตประเวศ,53728764.0,160816,76182,84634,16,0,42,6,1,29,0,2,18,18,18,8,3,2023,1437.0,111.5,4.002785515320334,2,265,4,79.83333333333333,3.350160818886509e-07,5.397481319317154e-07,0.002993108123611405,31
1032,เขตประเวศ,53728764.0,160816,76182,84634,16,0,42,6,1,29,0,2,18,18,18,8,3,2024,628.5,87.0,4.364583333333333,2,114,4,34.916666666666664,3.350160818886509e-07,5.397481319317154e-07,0.002993108123611405,31
