dcode,dname,เขต,รหัสสถานี,สถานี,วัน-เวลา,ฝน 5 นาที,ฝน 15 นาที,ฝน 30 นาที,ฝน 1 ชม.,ฝน 3 ชม.,ฝน 6 ชม.,ฝน 12 ชม.,ฝน 24 ชม.,date_object,season
1001,เขตพระนคร,พระนคร,RF.PNK.02,ส.เทเวศร์,2567-01-02 00:00:00,0.0,0.0,0.0,0.0,0.5,0.5,1.0,10.5,2024-02-01,Winter
1033,เขตคลองเตย,คลองเตย,RF.KTY.01,สนข.คลองเตย,2567-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-01,Winter
1018,เขตคลองสาน,คลองสาน,RF.KSN.01,สนข.คลองสาน,2567-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-01,Winter
1046,เขตคลองสามวา,คลองสามวา,RF.KSW.01,สนข.คลองสามวา,2567-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-01,Winter
1043,เขตคันนายาว,คันนายาว,RF.KNY.02,จุดวัด ค.ลำชะล่า-ถ.นวมินทร์,2567-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-01,Winter
1030,เขตจตุจักร,จตุจักร,RF.CTC.01,บ่อสูบศาลอาญารัชดา,2567-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-01,Winter
1035,เขตจอมทอง,จอมทอง,RF.JTG.01,สนข.จอมทอง,2567-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-01,Winter
1036,เขตดอนเมือง,ดอนเมือง,RF.DMG.01,สนข.ดอนเมือง,2567-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-01,Winter
1026,เขตดินแดง,ดินแดง,RF.DDG.02,ศูนย์ฯ (ดินแดง),2567-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-01,Winter
1002,เขตดุสิต,ดุสิต,RF.DST.01,สนข.ดุสิต,2567-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-01,Winter
1019,เขตตลิ่งชัน,ตลิ่งชัน,RF.TLC.01,สนข.ตลิ่งชัน,2567-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-01,Winter
1048,เขตทวีวัฒนา,ทวีวัฒนา,RF.TWW.01,สนข.ทวีวัฒนา,2567-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-01,Winter
